French,English
histoire,history
chercher,search
police,police
aide,help
demande,request
mois,month
frère,brother
laisser,let
car,because
aucun,no
laisse,leash
eux,them
parlé,speak
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
revoir,meet again
place,square
compris,understood
savais,knew
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
donné,given
corps,body
yeux,eyes
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
enfant,child
point,point
pardon,sorry
venez,come
devant,in front of
minutes,minutes
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
boulot,job
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
aura,will have
filles,girls
jouer,to play
bureau,office
